"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Elephant_African",0.866666666666667,0.830357142857143,0.577777777777778,0.958762886597938,0.577777777777778,0.866666666666667,0.693333333333333,0.211267605633803,0.183098591549296,0.316901408450704,0.848511904761905
"Class: Human",0.777777777777778,0.930434782608696,0.724137931034483,0.946902654867257,0.724137931034483,0.777777777777778,0.75,0.190140845070423,0.147887323943662,0.204225352112676,0.854106280193237
"Class: Other",0.752941176470588,0.929824561403509,0.941176470588235,0.716216216216216,0.941176470588235,0.752941176470588,0.836601307189543,0.598591549295775,0.450704225352113,0.47887323943662,0.841382868937049
