"","n","overallAccuracy","elephantBalancedAcc","humanBalancedAcc","otherBalancedAcc","threshold"
"1",45,0.78169014084507,0.848511904761905,0.854106280193237,0.841382868937049,0
"2",45,0.78169014084507,0.848511904761905,0.854106280193237,0.841382868937049,0.1
"3",45,0.78169014084507,0.848511904761905,0.854106280193237,0.841382868937049,0.2
"4",45,0.78169014084507,0.848511904761905,0.854106280193237,0.841382868937049,0.3
"5",44,0.787234042553192,0.852252252252252,0.853801169590643,0.845864661654135,0.4
"6",42,0.807407407407407,0.857142857142857,0.87962962962963,0.855937921727395,0.5
"7",36,0.846774193548387,0.865591397849462,0.89979797979798,0.881827731092437,0.6
"8",31,0.882882882882883,0.87962962962963,0.928372093023256,0.909902597402597,0.7
"9",31,0.895833333333333,0.895454545454546,0.944444444444444,0.924603174603175,0.8
"10",30,0.957746478873239,0.976744186046512,0.990909090909091,0.944444444444444,0.9
