"","x"
"Accuracy",0.802816901408451
"Kappa",0.670833678284626
"AccuracyLower",0.727781195365229
"AccuracyUpper",0.864793341357633
"AccuracyNull",0.612676056338028
"AccuracyPValue",9.03336648981847e-07
"McnemarPValue",0.00199579002875364
