"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Elephant_African",0.864541832669323,0.853125,0.821969696969697,0.889250814332248,0.821969696969697,0.864541832669323,0.842718446601942,0.439579684763573,0.380035026269702,0.462346760070053,0.858833416334661
"Class: Human",0.8046875,0.979683972911964,0.919642857142857,0.945533769063181,0.919642857142857,0.8046875,0.858333333333333,0.224168126094571,0.180385288966725,0.19614711033275,0.892185736455982
"Class: Other",0.822916666666667,0.902374670184697,0.81025641025641,0.909574468085106,0.81025641025641,0.822916666666667,0.816537467700258,0.336252189141856,0.276707530647986,0.341506129597198,0.862645668425682
