"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Elephant_African",0.960159362549801,0.98125,0.975708502024291,0.969135802469136,0.975708502024291,0.960159362549801,0.967871485943775,0.439579684763573,0.422066549912434,0.432574430823117,0.9707046812749
"Class: Human",0.9921875,0.993227990970655,0.976923076923077,0.997732426303855,0.976923076923077,0.9921875,0.984496124031008,0.224168126094571,0.222416812609457,0.227670753064799,0.992707745485327
"Class: Other",0.958333333333333,0.973614775725594,0.948453608247423,0.978779840848806,0.948453608247423,0.958333333333333,0.953367875647668,0.336252189141856,0.322241681260946,0.339754816112084,0.965974054529463
