id,transmit_time,created_date,imei,momsn,message_version,software_version,bridge_voltage,bridge_temperature,bridge_humidity,bridge_pressure,inference_class,inference_accuracy,image_datetime
4310,21/06/2015 16:27,2021-06-15 16:28:32.155344+00:00,300434065263510,8,6,4,3461,28,28,971,Elephant_African,0.5294,15/06/2021 17:24
4312,21/06/2016 05:40,2021-06-16 05:40:42.041425+00:00,300434065263510,9,6,4,3462,24,24,982,Elephant_African,0.6667,16/06/2021 06:14
4312,21/06/2016 05:40,2021-06-16 05:40:42.041425+00:00,300434065263510,9,6,4,3462,24,24,982,Elephant_African,0.9059,16/06/2021 06:14
4312,21/06/2016 05:40,2021-06-16 05:40:42.041425+00:00,300434065263510,9,6,4,3462,24,24,982,Elephant_African,0.6392,16/06/2021 06:15
4312,21/06/2016 05:40,2021-06-16 05:40:42.041425+00:00,300434065263510,9,6,4,3462,24,24,982,Elephant_African,0.9098,16/06/2021 06:15
4312,21/06/2016 05:40,2021-06-16 05:40:42.041425+00:00,300434065263510,9,6,4,3462,24,24,982,Elephant_African,0.898,16/06/2021 06:15
4312,21/06/2016 05:40,2021-06-16 05:40:42.041425+00:00,300434065263510,9,6,4,3462,24,24,982,Elephant_African,0.9216,16/06/2021 06:15
4312,21/06/2016 05:40,2021-06-16 05:40:42.041425+00:00,300434065263510,9,6,4,3462,24,24,982,Elephant_African,0.9137,16/06/2021 06:15
4312,21/06/2016 05:40,2021-06-16 05:40:42.041425+00:00,300434065263510,9,6,4,3462,24,24,982,Elephant_African,0.5608,16/06/2021 06:37
4313,21/06/2016 06:34,2021-06-16 06:34:38.075360+00:00,300434065263510,10,6,4,3459,24,24,981,Elephant_African,0.498,16/06/2021 07:31
4314,21/06/2016 06:34,2021-06-16 06:35:38.809994+00:00,300434065263510,10,6,4,3459,24,24,981,Elephant_African,0.498,16/06/2021 07:31
4315,21/06/2016 10:04,2021-06-16 10:04:45.708289+00:00,300434065263510,11,6,4,3453,27,23,985,Elephant_African,0.5608,16/06/2021 07:48
4315,21/06/2016 10:04,2021-06-16 10:04:45.708289+00:00,300434065263510,11,6,4,3453,27,23,985,Other,0.5804,16/06/2021 08:52
4315,21/06/2016 10:04,2021-06-16 10:04:45.708289+00:00,300434065263510,11,6,4,3453,27,23,985,Other,0.7451,16/06/2021 10:16
4315,21/06/2016 10:04,2021-06-16 10:04:45.708289+00:00,300434065263510,11,6,4,3453,27,23,985,Human,0.9098,16/06/2021 10:17
